"so_domain","so_nbr","so_ship","sod_line","sod_site","sod_due_date","sod_qty_ord","sod_price","sod_disc_pct","ad_name_src","ad_line1_src","ad_line2_src","ad_city_src","ad_state_src","ad_zip_src","ad_county_src","ad_ctry_src","ad_country_src","ad_name_dest","ad_line1_dest","ad_line2_dest","ad_city_dest","ad_state_dest","ad_zip_dest","ad_county_dest","ad_ctry_dest","ad_country_dest"
"10USA","0000000","10c1005",1,"10-100",08/05/15,1,100,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Rockland Industrial Company","566 Rockland Boulevard","","Rockland","NJ","21216","","USA","USA"
"10USA","0000000","10c1005",2,"10-100",08/05/15,0,2500,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Rockland Industrial Company","566 Rockland Boulevard","","Rockland","NJ","21216","","USA","USA"
"10USA","0000000","10c1005",3,"10-100",08/05/15,0,2500,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Rockland Industrial Company","566 Rockland Boulevard","","Rockland","NJ","21216","","USA","USA"
"10USA","00000001","10C1003",6,"10-100",08/08/15,10,299.99,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Pacific Health Care Systems","600 Calle de Los Caminos","","Los Angeles","CA","90212","Los Angeles","USA","USA - TAX PURPOSE"
"10USA","00000001","10C1003",7,"10-100",08/08/15,10,299.99,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Pacific Health Care Systems","600 Calle de Los Caminos","","Los Angeles","CA","90212","Los Angeles","USA","USA - TAX PURPOSE"
"10USA","00000001","10C1003",8,"10-100",08/08/15,10,299.99,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Pacific Health Care Systems","600 Calle de Los Caminos","","Los Angeles","CA","90212","Los Angeles","USA","USA - TAX PURPOSE"
"10USA","00000001","10C1003",9,"10-100",08/08/15,10,299.99,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Pacific Health Care Systems","600 Calle de Los Caminos","","Los Angeles","CA","90212","Los Angeles","USA","USA - TAX PURPOSE"
"10USA","00000001","10C1003",10,"10-100",08/08/15,10,299.99,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Pacific Health Care Systems","600 Calle de Los Caminos","","Los Angeles","CA","90212","Los Angeles","USA","USA - TAX PURPOSE"
"10USA","00000001","10C1003",11,"10-100",08/08/15,10,299.99,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Pacific Health Care Systems","600 Calle de Los Caminos","","Los Angeles","CA","90212","Los Angeles","USA","USA - TAX PURPOSE"
"10USA","00000001","10C1003",12,"10-100",08/08/15,10,299.99,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Pacific Health Care Systems","600 Calle de Los Caminos","","Los Angeles","CA","90212","Los Angeles","USA","USA - TAX PURPOSE"
"10USA","00000001","10C1003",13,"10-100",08/08/15,10,299.99,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Pacific Health Care Systems","600 Calle de Los Caminos","","Los Angeles","CA","90212","Los Angeles","USA","USA - TAX PURPOSE"
"10USA","00000001","10C1003",14,"10-100",08/08/15,10,299.99,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Pacific Health Care Systems","600 Calle de Los Caminos","","Los Angeles","CA","90212","Los Angeles","USA","USA - TAX PURPOSE"
"10USA","00000001","10C1003",15,"10-100",08/08/15,10,299.99,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Pacific Health Care Systems","600 Calle de Los Caminos","","Los Angeles","CA","90212","Los Angeles","USA","USA - TAX PURPOSE"
"10USA","00000001","10C1003",16,"10-100",08/08/15,10,0,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Pacific Health Care Systems","600 Calle de Los Caminos","","Los Angeles","CA","90212","Los Angeles","USA","USA - TAX PURPOSE"
"10USA","00000001","10C1003",17,"10-100",08/08/15,0,2500,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Pacific Health Care Systems","600 Calle de Los Caminos","","Los Angeles","CA","90212","Los Angeles","USA","USA - TAX PURPOSE"
"10USA","00000001","10C1003",18,"10-100",08/08/15,0,0,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Pacific Health Care Systems","600 Calle de Los Caminos","","Los Angeles","CA","90212","Los Angeles","USA","USA - TAX PURPOSE"
"10USA","00000001","10C1003",19,"10-100",08/08/15,0,0,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Pacific Health Care Systems","600 Calle de Los Caminos","","Los Angeles","CA","90212","Los Angeles","USA","USA - TAX PURPOSE"
"10USA","00000001","10C1003",20,"10-100",08/08/15,0,0,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Pacific Health Care Systems","600 Calle de Los Caminos","","Los Angeles","CA","90212","Los Angeles","USA","USA - TAX PURPOSE"
"10USA","00000001","10C1003",21,"10-100",08/08/15,0,0,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Pacific Health Care Systems","600 Calle de Los Caminos","","Los Angeles","CA","90212","Los Angeles","USA","USA - TAX PURPOSE"
"10USA","00000001","10C1003",22,"10-100",08/08/15,0,0,0,"QMI -USA Division","30 Ridgedale Avenue","","East Hanover","NJ","07950","","USA","USA - TAX PURPOSE","Pacific Health Care Systems","600 Calle de Los Caminos","","Los Angeles","CA","90212","Los Angeles","USA","USA - TAX PURPOSE"
